N,Triton,Torch
256.000000,58.935253,198.620693
384.000000,186.790865,211.239964
512.000000,190.382117,213.237792
640.000000,195.397229,222.781155
768.000000,190.880452,214.395831
896.000000,194.693286,218.692357
1024.000000,197.738587,221.625113
1152.000000,198.008912,221.602446
1280.000000,16.873327,7.616922
1408.000000,8.876281,7.678255
1536.000000,8.001102,6.953750
1664.000000,8.134744,7.511356
1792.000000,7.811954,7.024094
1920.000000,7.836917,7.013788
2048.000000,7.718472,6.884034
2176.000000,7.928243,9.418060
2304.000000,7.775031,9.081592
2432.000000,7.783081,8.505355
2560.000000,7.786610,8.880965
2688.000000,7.699593,8.425713
2816.000000,17.976967,221.658076
2944.000000,211.495441,222.648152
3072.000000,213.028684,17.530137
3200.000000,14.599372,7.940077
3328.000000,14.497141,8.219186
3456.000000,7.965141,8.114462
3584.000000,7.608080,8.173609
3712.000000,14.543674,7.911418
