size,Triton,Torch
4096.000000,0.857143,8.000000
8192.000000,14.769230,15.999999
16384.000000,27.428571,27.428571
32768.000000,54.857142,54.857142
65536.000000,85.333330,85.333330
131072.000000,127.999995,127.999995
262144.000000,153.600004,146.285715
524288.000000,170.666661,175.542852
1048576.000000,192.000000,192.000000
2097152.000000,210.051276,210.051276
4194304.000000,218.453337,218.453337
8388608.000000,222.407245,223.164582
16777216.000000,225.986210,225.986210
33554432.000000,231.716694,230.896060
67108864.000000,231.031722,231.269516
134217728.000000,233.587884,233.535855
